event_type,in_flight,provider,request_id_local,run_id,schema_version,task_name,timestamp_utc,trial_id
concurrency,1,kourier,e8ed5e0581ca4d11b22b4ffe3475f8ca,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:17.490748Z,unknown
concurrency,2,kourier,4b13aad4af9e4e66868da871fd4a868b,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:17.568028Z,unknown
concurrency,3,kourier,e094192b545644c79ef2ba2983a44518,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:17.625450Z,unknown
concurrency,4,kourier,02e2211532c3472999d09d8d15c0ad85,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:17.683219Z,unknown
concurrency,5,kourier,2952f204e6d846a0b04f72b85e340018,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:17.726369Z,unknown
concurrency,4,kourier,02e2211532c3472999d09d8d15c0ad85,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:19.425189Z,unknown
concurrency,5,kourier,3de0b09032164c0f8ed7e8cc04116975,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:20.439231Z,unknown
concurrency,4,kourier,e094192b545644c79ef2ba2983a44518,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:22.161689Z,unknown
concurrency,3,kourier,2952f204e6d846a0b04f72b85e340018,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:22.178709Z,unknown
concurrency,4,kourier,7f1ff3d5a2b74da8addd93467b983d7b,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:22.265425Z,unknown
concurrency,3,kourier,e8ed5e0581ca4d11b22b4ffe3475f8ca,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:23.340274Z,unknown
concurrency,4,kourier,70182e41a5a445508c136ef90f064bcf,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:23.518655Z,unknown
concurrency,3,kourier,3de0b09032164c0f8ed7e8cc04116975,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:26.577706Z,unknown
concurrency,4,kourier,36433f2a64fe43be94a997d92a651da3,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:26.589717Z,unknown
concurrency,5,kourier,238a3da9bd17437fbd62c558c83265b0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:26.613318Z,unknown
concurrency,4,kourier,70182e41a5a445508c136ef90f064bcf,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:27.468921Z,unknown
concurrency,5,kourier,708a9b0c74ac4ef9bc1ca95703a2fe1d,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:27.483810Z,unknown
concurrency,4,kourier,238a3da9bd17437fbd62c558c83265b0,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:32.397455Z,unknown
concurrency,5,kourier,39055d616b9748d78e43a64f8a6cb419,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:32.432064Z,unknown
concurrency,4,kourier,39055d616b9748d78e43a64f8a6cb419,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:35.240879Z,unknown
concurrency,5,kourier,d03c9370d0d84584972ae398ac4d3548,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:35.310278Z,unknown
concurrency,4,kourier,d03c9370d0d84584972ae398ac4d3548,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:43.431446Z,unknown
concurrency,5,kourier,7357c10fb2dc48119a7cfb28c6c091ba,tb21-omp-kourier-full-qwen3.6-35b-20260729-162754,1,unknown,2026-07-29T16:28:43.670291Z,unknown
concurrency,1,kourier,f924f5274ef64f8eb0fdb1f8596957be,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:43.339818Z,unknown
concurrency,2,kourier,07c5945ef3e84cbb83ee0cc9a5703b56,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:43.374797Z,unknown
concurrency,3,kourier,40dbaa51995a48ac8d7b17238b705205,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:43.387357Z,unknown
concurrency,4,kourier,0fbf4de8f7a3426abaf7932856c88b74,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:43.405861Z,unknown
concurrency,5,kourier,27b7700665b44c62adb93917acf26fa2,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:43.415522Z,unknown
concurrency,4,kourier,0fbf4de8f7a3426abaf7932856c88b74,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:52.043245Z,unknown
concurrency,5,kourier,a04093fafcc343048d38dc02cc2431b4,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:52.223167Z,unknown
concurrency,4,kourier,07c5945ef3e84cbb83ee0cc9a5703b56,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:52.829307Z,unknown
concurrency,3,kourier,40dbaa51995a48ac8d7b17238b705205,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:52.861817Z,unknown
concurrency,2,kourier,27b7700665b44c62adb93917acf26fa2,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:52.890726Z,unknown
concurrency,3,kourier,8f27a0dda5d34dd890fb060910595b84,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:52.950336Z,unknown
concurrency,4,kourier,b93e875cdb4a4d72ab3083e7f08e721a,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:53.205338Z,unknown
concurrency,5,kourier,c4856a2e01004d39932a9f3997d354ff,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:23:53.919109Z,unknown
concurrency,4,kourier,8f27a0dda5d34dd890fb060910595b84,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:01.322156Z,unknown
concurrency,3,kourier,b93e875cdb4a4d72ab3083e7f08e721a,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:01.343861Z,unknown
concurrency,4,kourier,820be95eaed84547ba185ba04a6f2608,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:01.366024Z,unknown
concurrency,5,kourier,a796e8731f0042cd93ed0733249cb2a5,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:01.911020Z,unknown
concurrency,4,kourier,820be95eaed84547ba185ba04a6f2608,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:05.762024Z,unknown
concurrency,5,kourier,c8f31f14cafe4452acb7cdb8f2b4e8f7,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:05.888163Z,unknown
concurrency,4,kourier,a796e8731f0042cd93ed0733249cb2a5,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:08.332619Z,unknown
concurrency,5,kourier,51b83af0cfbb47d0a36778b0a116e427,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:08.591284Z,unknown
concurrency,4,kourier,51b83af0cfbb47d0a36778b0a116e427,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:15.864600Z,unknown
concurrency,5,kourier,47d65bfdc10d4cdf91936a1604c57a92,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:15.880839Z,unknown
concurrency,4,kourier,47d65bfdc10d4cdf91936a1604c57a92,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:21.613320Z,unknown
concurrency,5,kourier,1f668b1f145b41ce861bc82aa3f1690a,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:24:21.683077Z,unknown
concurrency,4,kourier,f924f5274ef64f8eb0fdb1f8596957be,tb21-omp-kourier-full-qwen3.6-35b-20260729-162318,1,unknown,2026-07-29T16:25:51.965153Z,unknown
